MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,Total Bsmnt SF,Style
10538800,CLSD,11/22/2019,555300,2 Stories,1969,1714,Riverside,25,60025,2568,8,2,1,No,4,0,Attached,2,,,Traditional
10376631,CLSD,10/18/2019,558500,2 Stories,1951,826,Lenox,25,60025,2768,8,1,1,No,4,0,Attached,2,,,Colonial
10740777,CLSD,8/21/2020,560000,2 Stories,1988,2223,JANET,25,60026,2856,8,2,1,No,4,0,Attached,2.5,,,Colonial
10737376,CLSD,8/18/2020,560000,2 Stories,1986,1012,Bette,25,60025,2900,10,2,1,No,3,0,Attached,2,,1453,
10308901,CLSD,4/26/2019,560000,2 Stories,2016,512,GREENWOOD,25,60025,3457,8,3,0,No,4,0,Attached,2,,,Colonial
10462595,CLSD,12/5/2019,560000,1 Story,1972,27,Park,25,60029,0,8,2,1,No,3,0,Attached,2.5,,,Ranch
10251778,CLSD,6/4/2019,560000,1 Story,1955,729,Surrey,25,60025,1710,9,2,0,No,3,0,Attached,2.5,,0,Ranch
10402425,CLSD,1/24/2020,562500,Split Level w/ Sub,1962,1306,Hawthorne,25,60025,2800,10,3,1,No,5,0,Attached,2,,,
10329786,CLSD,5/30/2019,570000,2 Stories,1996,3115,Central,25,60025,3500,10,2,1,No,4,0,Attached,2,,,
10849541,CLSD,11/6/2020,570000,Split Level,1959,1224,Roosevelt,25,60025,2025,8,2,1,No,4,0,Attached,1,,,Bi-Level
10879667,CLSD,11/23/2020,570000,2 Stories,1898,1963,Glenview,25,60025,0,9,3,0,No,4,0,Detached,2,,,Farmhouse
10891241,CLSD,12/15/2020,570500,1 Story,1957,1446,Huntington,25,60025,0,9,3,0,Yes,3,0,Attached,1,,,Ranch
10673667,CLSD,7/10/2020,571000,Split Level,1958,205,Greenfield,25,60025,0,10,3,0,No,4,0,Attached,2,,,Tri-Level
10609382,CLSD,6/12/2020,575000,Split Level,1962,1300,Hawthorne,25,60025,2600,7,2,0,Yes,3,0,Attached,2,,,
10626054,CLSD,4/28/2020,575000,2 Stories,1976,335,Harlem,25,60025,2226,10,2,1,No,4,0,Attached,2,,,
10461074,CLSD,9/16/2019,575000,2 Stories,1953,1161,Vernon,25,60025,0,10,2,0,No,4,0,Attached,1,,,
10305926,CLSD,5/30/2019,575000,2 Stories,1976,3715,Keenan,25,60026,0,9,3,1,Yes,4,0,Attached,2,4,,Colonial
10836783,CLSD,12/22/2020,575000,2 Stories,1973,3923,Chester,25,60026,2613,8,2,1,No,4,0,Attached,2.5,,,Contemporary
