SoldPr,SFH,Condo,Duplex,Townhouse,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,60002,60025,60026,60029,60035,60053,60062,60067,60076,60077,60091,60201,60202,60203,60625,60626,60638,63104
358750,1,0,0,0,0,0,0,1,0,0,0,0,2496,7,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312625,1,0,0,0,0,0,0,1,0,0,0,0,1400,6,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
435625,1,0,0,0,0,0,0,1,0,0,0,0,2500,9,2,1,0,4,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
427937.5,0,0,0,1,0,0,1,0,0,0,0,0,1500,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
553500,1,0,0,0,0,0,0,1,0,0,0,0,2451,9,2,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214225,1,0,0,0,0,0,0,0,0,0,0,1,2886,8,1,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312298.2812,1,0,0,0,0,0,0,1,0,0,0,0,1570,8,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
286295.3125,1,0,0,0,0,0,0,1,0,0,0,0,1239,8,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
488540.625,0,1,0,0,0,0,0,1,0,0,0,0,1761,6,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114902.5,1,0,0,0,0,0,0,0,1,0,0,0,540,3,1,0,0,1,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513272.9941,1,0,0,0,0,0,0,1,0,0,0,0,2789,11,2,1,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179656.875,0,1,0,0,0,0,0,1,0,0,0,0,1050,5,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188600,0,1,0,0,0,0,0,0,1,0,0,0,1200,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177555.625,0,1,0,0,0,0,0,1,0,0,0,0,1150,5,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422812.5,1,0,0,0,0,0,0,1,0,0,0,0,2500,11,2,0,0,4,0,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086500,1,0,0,0,0,0,0,1,0,0,0,0,3318,9,2,1,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562944.5742,1,0,0,0,0,0,0,1,0,0,0,0,2029,8,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
401800,1,0,0,0,0,0,0,0,1,0,0,0,2020,8,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
271625,1,0,0,0,0,0,0,1,0,0,0,0,1888,10,1,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379250,1,0,0,0,0,0,0,1,0,0,0,0,2150,8,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
820000,1,0,0,0,0,0,1,0,0,0,0,0,3068,8,3,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
461224.375,1,0,0,0,0,0,0,1,0,0,0,0,2343,9,2,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164000,1,0,0,0,0,0,0,0,1,0,0,0,2430,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
460225,0,0,0,1,0,0,1,0,0,0,0,0,2200,6,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182808.75,0,1,0,0,0,0,0,1,0,0,0,0,1030,5,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
